HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,1,0,0.0,0,0,0,0,0,1.0,0,0,2011-12-12 00:00:00,2,1,1.0,1.0,1.0,0.0,13.0,7.0,7.0,4.0,5.0,1.0,11.0,18.0,4.0,2.0,0.0,1.0,6.0,1,3,0.2,0.35,0.55,3,3,8,7,10,6
0,0,0,1.0,0,0,1,0,0,0.0,0,0,2011-12-18 00:00:00,1,0,1.0,0.0,0.0,0.0,15.0,12.0,9.0,8.0,4.0,6.0,13.0,10.0,2.0,3.0,0.0,0.0,5.0,1,1,0.2962962962962963,0.3333333333333333,0.6296296296296297,3,3,8,10,10,6
0,0,0,0.0,0,1,0,1,0,0.0,0,0,2011-12-22 00:00:00,1,1,0.0,1.0,1.0,0.0,16.0,20.0,10.0,10.0,7.0,4.0,14.0,8.0,2.0,2.0,0.0,0.0,4.0,1,2,0.2777777777777778,0.2777777777777778,0.5555555555555556,3,4,8,10,10,7
0,0,0,1.0,0,0,0,0,1,0.0,0,0,2012-01-03 00:00:00,3,0,1.0,2.0,0.0,1.0,10.0,18.0,8.0,10.0,5.0,6.0,13.0,7.0,1.0,2.0,1.0,0.0,3.0,0,3,0.3571428571428571,0.2857142857142857,0.6428571428571429,3,4,8,13,10,7
1,0,0,0.0,0,0,0,0,0,0.0,1,0,2012-01-22 00:00:00,1,2,-1.0,0.0,1.0,-1.0,12.0,9.0,6.0,5.0,0.0,5.0,15.0,6.0,5.0,2.0,0.0,0.0,7.0,1,3,0.238095238095238,0.2857142857142857,0.5238095238095238,3,4,8,13,13,7
0,0,0,1.0,0,0,0,0,0,0.0,0,1,2012-01-22 00:00:00,3,2,1.0,0.0,0.0,0.0,13.0,12.0,7.0,7.0,9.0,4.0,7.0,10.0,2.0,1.0,0.0,0.0,3.0,0,5,0.28,0.28,0.56,3,4,8,16,13,7
0,1,0,0.0,0,0,0,0,0,0.0,1,0,2012-02-05 00:00:00,3,3,0.0,1.0,0.0,1.0,19.0,14.0,10.0,10.0,6.0,6.0,14.0,13.0,2.0,1.0,0.0,0.0,3.0,0,6,0.303030303030303,0.303030303030303,0.6060606060606061,3,5,8,16,14,7
0,0,1,0.0,0,0,0,0,0,0.0,0,1,2012-02-06 00:00:00,0,0,0.0,0.0,0.0,0.0,15.0,9.0,10.0,6.0,7.0,4.0,6.0,11.0,2.0,2.0,0.0,0.0,4.0,1,0,0.25,0.4166666666666667,0.6666666666666666,3,5,9,16,14,8
0,0,0,0.0,1,0,0,0,1,0.0,0,0,2012-02-11 00:00:00,2,1,1.0,0.0,0.0,0.0,11.0,9.0,6.0,6.0,4.0,3.0,10.0,11.0,1.0,1.0,0.0,0.0,2.0,0,3,0.3,0.3,0.6,3,5,9,16,17,8
1,0,0,0.0,0,0,0,0,0,0.0,0,1,2012-02-26 00:00:00,5,2,1.0,2.0,2.0,0.0,21.0,8.0,13.0,4.0,7.0,5.0,15.0,12.0,3.0,3.0,0.0,1.0,6.0,1,7,0.1379310344827586,0.4482758620689655,0.5862068965517241,6,5,9,16,17,8
0,0,1,0.0,0,0,1,0,0,0.0,0,0,2012-03-03 00:00:00,1,2,-1.0,1.0,1.0,0.0,12.0,10.0,4.0,7.0,12.0,0.0,11.0,9.0,0.0,1.0,0.0,0.0,1.0,0,3,0.3181818181818182,0.1818181818181818,0.5,9,5,9,16,17,8
0,0,0,0.0,0,1,0,0,0,0.0,1,0,2012-03-04 00:00:00,1,3,-1.0,0.0,1.0,-1.0,18.0,6.0,9.0,5.0,7.0,3.0,8.0,10.0,1.0,2.0,0.0,0.0,3.0,0,4,0.2083333333333333,0.375,0.5833333333333334,9,5,9,16,20,8
0,0,0,1.0,0,0,0,1,0,0.0,0,0,2012-03-21 00:00:00,2,1,1.0,0.0,0.0,0.0,20.0,6.0,10.0,5.0,11.0,4.0,8.0,7.0,1.0,2.0,0.0,0.0,3.0,0,3,0.1923076923076923,0.3846153846153846,0.5769230769230769,9,5,9,19,20,8
0,1,0,0.0,0,0,0,0,0,0.0,0,1,2012-03-24 00:00:00,0,0,0.0,0.0,0.0,0.0,10.0,19.0,5.0,7.0,6.0,5.0,9.0,11.0,1.0,2.0,0.0,0.0,3.0,0,0,0.2413793103448276,0.1724137931034483,0.4137931034482758,9,6,9,19,20,9
1,0,0,0.0,0,0,0,0,0,1.0,0,0,2012-04-08 01:00:00,1,0,1.0,0.0,0.0,0.0,12.0,7.0,7.0,2.0,7.0,6.0,13.0,14.0,2.0,4.0,0.0,1.0,6.0,1,1,0.1052631578947368,0.3684210526315789,0.4736842105263157,12,6,9,19,20,9
1,0,0,0.0,0,0,0,1,0,0.0,0,0,2012-04-21 01:00:00,0,0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,7.0,7.0,7.0,11.0,11.0,3.0,4.0,0.0,0.0,7.0,1,0,0.2692307692307692,0.3076923076923077,0.5769230769230769,13,7,9,19,20,9
